StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Maine,ME,School,No,ALPHA Brewer High School,Regular school,230351000084,,Regular local school district,2303510,,Weekly,02/25/21,03/04/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,ALPHA Brewer High School,Regular school,230351000084,,Regular local school district,2303510,,Weekly,03/04/21,03/11/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,ALPHA Brewer High School,Regular school,230351000084,,Regular local school district,2303510,,Weekly,03/11/21,03/18/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,ALPHA Brewer High School,Regular school,230351000084,,Regular local school district,2303510,,Weekly,03/18/21,03/25/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Abraham Lincoln School,Regular school,230282000046,,Regular local school district,2302820,,Weekly,03/11/21,03/18/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Abraham Lincoln School,Regular school,230282000046,,Regular local school district,2302820,,Weekly,03/18/21,03/25/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Abraham Lincoln School,Regular school,230282000046,,Regular local school district,2302820,,Weekly,03/25/21,04/01/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Abraham Lincoln School,Regular school,230282000046,,Regular local school district,2302820,,Weekly,04/01/21,04/08/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Abraham Lincoln School,Regular school,230282000046,,Regular local school district,2302820,,Weekly,04/29/21,05/06/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Abraham Lincoln School,Regular school,230282000046,,Regular local school district,2302820,,Weekly,05/06/21,05/13/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Abraham Lincoln School,Regular school,230282000046,,Regular local school district,2302820,,Weekly,05/13/21,05/20/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Abraham Lincoln School,Regular school,230282000046,,Regular local school district,2302820,,Weekly,05/20/21,05/27/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Academy Hill School,Regular school,231480900933,,Regular local school district,2314809,,Weekly,10/20/20,10/27/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Academy Hill School,Regular school,231480900933,,Regular local school district,2314809,,Weekly,10/22/20,10/29/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Academy Hill School,Regular school,231480900933,,Regular local school district,2314809,,Weekly,10/27/20,11/03/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Academy Hill School,Regular school,231480900933,,Regular local school district,2314809,,Weekly,10/29/20,11/05/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Academy Hill School,Regular school,231480900933,,Regular local school district,2314809,,Weekly,04/08/21,04/15/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Academy Hill School,Regular school,231480900933,,Regular local school district,2314809,,Weekly,04/15/21,04/22/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Academy Hill School,Regular school,231480900933,,Regular local school district,2314809,,Weekly,04/22/21,04/29/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Academy Hill School,Regular school,231480900933,,Regular local school district,2314809,,Weekly,04/29/21,05/06/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Academy Hill School,Regular school,231480900933,,Regular local school district,2314809,,Weekly,05/06/21,05/13/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Academy Hill School,Regular school,231480900933,,Regular local school district,2314809,,Weekly,05/13/21,05/20/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,11/17/20,11/24/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,11/24/20,12/01/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,11/26/20,12/03/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,12/01/20,12/08/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,12/03/20,12/10/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,12/08/20,12/15/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,01/21/21,01/28/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,01/28/21,02/04/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,02/04/21,02/11/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,02/11/21,02/18/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,02/18/21,02/25/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,04/08/21,04/15/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,04/15/21,04/22/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,04/22/21,04/29/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,04/29/21,05/06/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,05/06/21,05/13/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,05/13/21,05/20/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,05/20/21,05/27/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,05/27/21,06/03/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,Yes,Acadia Academy School,Regular school,231483123149,,Charter agency,2314831,,Weekly,06/03/21,06/10/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Acton Elementary School,Regular school,230222000001,,Regular local school district,2302220,,Weekly,12/24/20,12/31/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Acton Elementary School,Regular school,230222000001,,Regular local school district,2302220,,Weekly,12/31/20,01/07/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Acton Elementary School,Regular school,230222000001,,Regular local school district,2302220,,Weekly,01/07/21,01/14/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Acton Elementary School,Regular school,230222000001,,Regular local school district,2302220,,Weekly,01/14/21,01/21/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Acton Elementary School,Regular school,230222000001,,Regular local school district,2302220,,Weekly,01/21/21,01/28/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Acton Elementary School,Regular school,230222000001,,Regular local school district,2302220,,Weekly,01/28/21,02/04/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Acton Elementary School,Regular school,230222000001,,Regular local school district,2302220,,Weekly,02/04/21,02/11/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Acton Elementary School,Regular school,230222000001,,Regular local school district,2302220,,Weekly,02/11/21,02/18/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Acton Elementary School,Regular school,230222000001,,Regular local school district,2302220,,Weekly,02/18/21,02/25/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Acton Elementary School,Regular school,230222000001,,Regular local school district,2302220,,Weekly,03/18/21,03/25/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Acton Elementary School,Regular school,230222000001,,Regular local school district,2302220,,Weekly,03/25/21,04/01/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Acton Elementary School,Regular school,230222000001,,Regular local school district,2302220,,Weekly,04/01/21,04/08/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Acton Elementary School,Regular school,230222000001,,Regular local school district,2302220,,Weekly,04/08/21,04/15/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Adams School,Regular school,230408000117,,Regular local school district,2304080,,Weekly,03/25/21,04/01/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Adams School,Regular school,230408000117,,Regular local school district,2304080,,Weekly,04/01/21,04/08/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Adams School,Regular school,230408000117,,Regular local school district,2304080,,Weekly,04/08/21,04/15/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Adams School,Regular school,230408000117,,Regular local school district,2304080,,Weekly,04/15/21,04/22/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Agnes Gray School,Regular school,231077000354,,Regular local school district,2310770,,Weekly,12/08/20,12/15/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Agnes Gray School,Regular school,231077000354,,Regular local school district,2310770,,Weekly,12/10/20,12/17/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Agnes Gray School,Regular school,231077000354,,Regular local school district,2310770,,Weekly,12/17/20,12/24/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Agnes Gray School,Regular school,231077000354,,Regular local school district,2310770,,Weekly,12/24/20,12/31/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Agnes Gray School,Regular school,231077000354,,Regular local school district,2310770,,Weekly,12/31/20,01/07/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Agnes Gray School,Regular school,231077000354,,Regular local school district,2310770,,Weekly,01/07/21,01/14/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Agnes Gray School,Regular school,231077000354,,Regular local school district,2310770,,Weekly,01/14/21,01/21/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Agnes Gray School,Regular school,231077000354,,Regular local school district,2310770,,Weekly,01/21/21,01/28/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Agnes Gray School,Regular school,231077000354,,Regular local school district,2310770,,Weekly,01/28/21,02/04/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Agnes Gray School,Regular school,231077000354,,Regular local school district,2310770,,Weekly,05/13/21,05/20/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Agnes Gray School,Regular school,231077000354,,Regular local school district,2310770,,Weekly,05/20/21,05/27/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Agnes Gray School,Regular school,231077000354,,Regular local school district,2310770,,Weekly,05/27/21,06/03/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Agnes Gray School,Regular school,231077000354,,Regular local school district,2310770,,Weekly,06/03/21,06/10/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Agnes Gray School,Regular school,231077000354,,Regular local school district,2310770,,Weekly,06/10/21,06/17/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Agnes Gray School,Regular school,231077000354,,Regular local school district,2310770,,Weekly,06/17/21,06/24/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,11/10/20,11/17/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,11/12/20,11/19/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,11/17/20,11/24/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,11/24/20,12/01/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,11/26/20,12/03/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,12/01/20,12/08/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,12/03/20,12/10/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,02/04/21,02/11/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,02/11/21,02/18/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,02/18/21,02/25/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,02/25/21,03/04/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,04/08/21,04/15/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,04/15/21,04/22/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,04/22/21,04/29/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,04/29/21,05/06/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,05/06/21,05/13/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,05/13/21,05/20/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,05/20/21,05/27/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,05/27/21,06/03/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albert S Hall School,Regular school,231335000605,,Regular local school district,2313350,,Weekly,06/03/21,06/10/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albion Elementary School,Regular school,231433000691,,Regular local school district,2314330,,Weekly,05/06/21,05/13/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albion Elementary School,Regular school,231433000691,,Regular local school district,2314330,,Weekly,05/13/21,05/20/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albion Elementary School,Regular school,231433000691,,Regular local school district,2314330,,Weekly,05/20/21,05/27/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Albion Elementary School,Regular school,231433000691,,Regular local school district,2314330,,Weekly,05/27/21,06/03/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,01/21/21,01/28/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,01/28/21,02/04/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,02/04/21,02/11/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,02/11/21,02/18/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,02/18/21,02/25/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,02/25/21,03/04/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,03/04/21,03/11/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,03/11/21,03/18/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,03/18/21,03/25/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,03/25/21,04/01/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,04/01/21,04/08/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,04/08/21,04/15/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,04/15/21,04/22/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,04/22/21,04/29/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,05/06/21,05/13/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,05/13/21,05/20/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,05/20/21,05/27/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,05/27/21,06/03/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Alfred Elementary School,Regular school,231467000999,,Regular local school district,2314670,,Weekly,06/17/21,06/24/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,10/27/20,11/03/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,10/29/20,11/05/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,11/03/20,11/10/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,11/05/20,11/12/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,11/10/20,11/17/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,11/12/20,11/19/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,11/17/20,11/24/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,12/03/20,12/10/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,12/08/20,12/15/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,12/10/20,12/17/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,12/17/20,12/24/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,12/24/20,12/31/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,12/31/20,01/07/21,,,,,,,,,,,,,,,5
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,01/07/21,01/14/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,01/14/21,01/21/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,01/21/21,01/28/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,01/28/21,02/04/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,02/04/21,02/11/21,,,,,,,,,,,,,,,5
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,02/11/21,02/18/21,,,,,,,,,,,,,,,5
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,02/18/21,02/25/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,02/25/21,03/04/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,03/04/21,03/11/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,03/11/21,03/18/21,,,,,,,,,,,,,,,5
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,03/18/21,03/25/21,,,,,,,,,,,,,,,5
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,03/25/21,04/01/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,04/01/21,04/08/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Amanda C Rowe School,Regular school,230993000271,,Regular local school district,2309930,,Weekly,04/08/21,04/15/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Ames Elementary School,Regular school,231482200450,,Regular local school district,2314822,,Weekly,10/20/20,10/27/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Ames Elementary School,Regular school,231482200450,,Regular local school district,2314822,,Weekly,10/22/20,10/29/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Ames Elementary School,Regular school,231482200450,,Regular local school district,2314822,,Weekly,10/27/20,11/03/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Ames Elementary School,Regular school,231482200450,,Regular local school district,2314822,,Weekly,10/29/20,11/05/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Ames Elementary School,Regular school,231482200450,,Regular local school district,2314822,,Weekly,11/03/20,11/10/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Ames Elementary School,Regular school,231482200450,,Regular local school district,2314822,,Weekly,11/05/20,11/12/20,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Appleton Village School,Regular school,230251000906,,Regular local school district,2302510,,Weekly,02/04/21,02/11/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Appleton Village School,Regular school,230251000906,,Regular local school district,2302510,,Weekly,02/11/21,02/18/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Appleton Village School,Regular school,230251000906,,Regular local school district,2302510,,Weekly,02/18/21,02/25/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Appleton Village School,Regular school,230251000906,,Regular local school district,2302510,,Weekly,02/25/21,03/04/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Asa C Adams School,Regular school,231477800251,,Regular local school district,2314778,,Weekly,02/04/21,02/11/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Asa C Adams School,Regular school,231477800251,,Regular local school district,2314778,,Weekly,02/11/21,02/18/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Asa C Adams School,Regular school,231477800251,,Regular local school district,2314778,,Weekly,02/18/21,02/25/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Asa C Adams School,Regular school,231477800251,,Regular local school district,2314778,,Weekly,02/25/21,03/04/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Asa C Adams School,Regular school,231477800251,,Regular local school district,2314778,,Weekly,03/25/21,04/01/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Asa C Adams School,Regular school,231477800251,,Regular local school district,2314778,,Weekly,04/01/21,04/08/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Asa C Adams School,Regular school,231477800251,,Regular local school district,2314778,,Weekly,04/08/21,04/15/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Asa C Adams School,Regular school,231477800251,,Regular local school district,2314778,,Weekly,04/15/21,04/22/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Ash Point Community School,Regular school,231478723176,,Regular local school district,2314787,,Weekly,02/04/21,02/11/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Ash Point Community School,Regular school,231478723176,,Regular local school district,2314787,,Weekly,02/11/21,02/18/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Ash Point Community School,Regular school,231478723176,,Regular local school district,2314787,,Weekly,02/18/21,02/25/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Ash Point Community School,Regular school,231478723176,,Regular local school district,2314787,,Weekly,02/25/21,03/04/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Ash Point Community School,Regular school,231478723176,,Regular local school district,2314787,,Weekly,03/11/21,03/18/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Ash Point Community School,Regular school,231478723176,,Regular local school district,2314787,,Weekly,03/18/21,03/25/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Ash Point Community School,Regular school,231478723176,,Regular local school district,2314787,,Weekly,03/25/21,04/01/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Ash Point Community School,Regular school,231478723176,,Regular local school district,2314787,,Weekly,04/01/21,04/08/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Ash Point Community School,Regular school,231478723176,,Regular local school district,2314787,,Weekly,04/08/21,04/15/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Ash Point Community School,Regular school,231478723176,,Regular local school district,2314787,,Weekly,04/22/21,04/29/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Ash Point Community School,Regular school,231478723176,,Regular local school district,2314787,,Weekly,04/29/21,05/06/21,,,,,,,,,,,,,,,1-4
Maine,ME,School,No,Ash Point Community School,Regular school,231478723176,,Regular local school district,2314787,,Weekly,05/06/21,05/13/21,,,,,,,,,,,,,,,1-4
